"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","56.9238836580591","58.9735404977085","60.7971672400535","63.2094875482819","66.8855857243835","70.6392895927602","73.3183376068376","77.201660692951","82.0677953625322","84.8340031151323","87.6167387261636","90.8634543142894","96.8324084233893","98.9626032773209","100","105.629057610248","110.411387109218","112.727941084602","115.175223554416","119.013777442239","122.519083829392","129.808732752854","136.39377198392","138.749392447957","137.80998389694","142.092154420922","143.213383838384","146.501060284762","149.506041101174","149.330306722907","148.581773122097","150.113364262741","","","",
"Afghanistan","AFG","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","111.65523822034","124.240382550808","137.798454142272","147.719600125925","180.997511515776","184.791741983155","180.793949236649","187.69057005143","218.834717103615","234.813495234107","246.138046378186","247.533512592586","253.59205127826","266.532125561718","271.723432120291","273.402020566197","279.523763374089","",
"Angola","AGO","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","4.28705632293308E-08","4.19701501468192E-08","4.19701501468192E-08","4.19755070319467E-08","4.19760057477972E-08","4.99662248026381E-08","4.54627380218593E-08","4.9928684326955E-08","5.10339927832032E-08","5.93421546643563E-08","6.76544712689004E-08","1.39577927680422E-07","8.04688737806164E-07","8.18998894556242E-06","0.000186402424825001","0.0035891696476374","0.175888394344964","0.343779182409549","0.479088428283886","3.15001174865776","16.3176590936026","33.6718363717297","100.000001968785","193.926858257731","258.776346106944","368.434273474669","431.503212037768","450.094163436159","537.277045500011","447.223599061626","588.945165873103","776.06213120552","832.370951050676","856.008156612073","886.489090146036","855.298944337927","1041.53429824019","1277.07212160556","1648.26443227253","2239.99999998313","",
"Albania","ALB","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","2.70957288962813","2.65159962714335","2.65112978755412","2.65068558621114","2.64993384496675","2.65924100481951","2.59495916061338","2.59495121762933","2.59493620375731","2.59503167564931","2.58383751831052","3.50146795555262","11.6593511273047","26.3094207492493","35.7393683606848","39.3028202239717","54.3055367445331","60.4093062835158","64.4750006931698","65.8312185344784","69.5465890444503","72.1990492975176","74.8300908923865","78.7190895861339","81.2042071135671","83.8867808789141","85.9677315115566","89.7416286851914","93.4364582164937","95.7000927387951","100","102.314785504477","103.381340130549","103.679855451036","105.286767363332","105.880541484639","105.2109075613","106.737639585003","108.188631478635","108.601386034314","",
"Andorra","AND","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","4.33139499047686","4.6712306535909","5.06912971080184","5.6697928829822","6.57385277132106","7.67706329383622","8.94300006904356","11.0341500527473","13.3106101188281","15.5643212378553","17.6429073656213","19.8220134146535","22.5143086197847","25.189962021195","27.9267844829301","30.3272211229052","33.6264634812902","35.6252873234307","37.7400489065613","40.3426808567862","43.2982839530275","46.3010844775356","49.4082443031425","51.6500108489984","53.653955240734","56.3007711296988","56.7495875353522","58.014059240465","58.8840130625527","60.4927111303908","77.8792564996033","80.2783543933462","82.8789971882537","85.5124642419289","88.1141159753295","91.1065613447548","94.2562828855088","97.2830664124349","99.4956124705714","99.6270821248032","100","100.196764152031","100.371664523226","100.821823609818","100.737113802681","101.402572054216","101.755245516619","102.911703389108","103.953662239379","105.52114153028","",
"Arab World","ARB","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","27.9514420299598","31.2425374330578","32.8845689972593","31.6806282614747","33.914435868816","37.1417254584134","39.7618825316472","40.2839038533763","38.8264252756677","36.4589967348556","36.7289875970048","36.1051511427786","37.4358371062586","38.327201507786","38.9984168228142","40.2993652022558","40.6261320910667","41.3601756572094","41.8887737180555","41.7788261917873","43.4113253667616","45.9174802405966","45.4802077521772","43.5452771815514","47.2219692977798","52.6333877734053","51.3968675565603","53.3349609652285","55.5069775402609","60.225859973351","70.1789704449369","78.5738836543114","88.4223033292433","104.809921008246","88.8966517851225","100","113.165389424771","115.6976167208","114.694344818752","113.65576361595","96.0634732456283","92.9266500219339","98.0331070241831","106.078230506507","104.062820863738","",
"Argentina","ARG","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","7.18895053091502E-11","8.64907652849211E-11","1.11462242081356E-10","1.3998671649233E-10","1.8026735846122E-10","2.18543409371641E-10","2.74498089075475E-10","3.54152666316617E-10","3.90542952628105E-10","4.20989017434933E-10","4.48218059328181E-10","5.88380614993937E-10","9.66384481480835E-10","1.59970732848138E-09","2.0897047438487E-09","6.2209959491128E-09","3.3489038319795E-08","8.68796669538272E-08","2.27079272548601E-07","5.617419920553E-07","1.09983703146405E-06","2.25770549423123E-06","6.64973964313215E-06","3.19292920209082E-05","0.000227079944710638","0.0016064713869076","0.00284814905357603","0.0064806760228146","0.0311880164529436","0.98120342610931","21.3737192500369","51.4043032052253","59.6659994934379","57.5412362252407","59.180781521562","61.0539262799835","61.0219489829064","60.7388601486823","59.7030927427164","58.6066105825432","59.214529394292","58.5656756966243","76.4605374112749","84.4856083466432","99.9999998969317","110.317511084538","125.47629818382","144.222363056105","177.640364739783","204.957277170641","247.824346395484","306.567321408416","374.977453364052","464.780047776689","652.00726257168","825.310738210731","1164.67339673925","1467.57563410044","2064.91987265044","3128.52577013401","",
"Armenia","ARM","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00192948040173708","0.00346121972594738","0.0231488900379097","0.345188503359568","14.5231047515813","37.9291093248439","45.3600933019508","53.4051569538603","59.1187064714333","59.1505147473027","58.3379783250784","60.6878142878981","62.1184682255083","64.9749957579701","69.0545120123527","71.2703032694115","74.561574788665","77.7512261589374","82.4081843362572","84.4661252561848","91.0280582050811","94.925470028376","100","103.366824642245","105.753753195841","107.037508479417","107.324984549514","109.633160636454","112.689414685926","114.33773844941","",
"American Samoa","ASM","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.7421981004071","70.92866756393","68.5408299866131","67.6075268817204","69.5652173913043","71.5268225584594","79.5197740112994","100","84.5814977973568","84.0409956076135","98.6217457886677","100.944881889764","100.15600624025","101.692307692308","103.164556962025","101.176470588235","104.605263157895","","",
"Antigua and Barbuda","ATG","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","26.841850928088","29.1597204728309","33.4886233625846","37.3059175988228","40.4219366967544","44.9785791813809","47.3050882792448","49.1236092955359","52.7642876357704","57.0513544365527","62.1154862677614","69.7995414230042","72.9968536286777","74.2014892250856","76.1353060890702","78.0094606050109","79.423669802701","82.0012276534584","83.9718307780057","86.4717837527079","88.0519495454055","89.9099525032086","91.2618530310395","92.6783088769624","94.0535294543465","94.7133111893931","93.8011232326845","95.3407982949343","99.5933940589949","100","103.738825164669","108.282807406701","110.218914456014","111.89201474822","113.028183266668","115.329111535901","114.237470231167","116.421123815701","119.934135537234","122.179767848424","121.04223227292","123.662365952219","126.764945652174","",
"Australia","AUS","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","6.39687791634852","6.60295003010235","6.59797031247678","6.71623521511957","6.93685270425777","7.14362829319753","7.33561303345736","7.69256931021387","7.86566850226798","8.23963621247811","8.66258897424566","9.11182634324513","9.67575644865546","10.5449357938961","12.2723320729515","14.2959029715661","16.3002246240436","18.1614023413944","19.6571396453363","21.354445218763","23.493295769134","25.7311741575409","28.7441791948671","31.6639576557319","34.153758981492","35.7343601722753","38.0412776513341","40.7243224443602","43.660299174621","47.6996434833506","50.606937394035","52.1452394342098","52.9285882535721","53.4016948254349","53.9470209414381","55.1677172582961","56.6549261744966","57.3536337983945","58.0837116876165","58.2911053898553","59.7948652090237","62.557871705372","64.3472734097734","66.3507737168229","68.5476750971446","71.1505633058591","74.7737681347568","78.5211537321997","82.0746897223378","86.1799654635915","87.1858868871176","92.6373844829886","94.357223359463","94.240053097584","95.6344028510901","95.1087462408183","94.6018121560054","98.140610036165","100","103.303873962914","",
"Austria","AUT","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","16.2732646453409","17.1011106325943","17.67232247964","18.3223575301174","18.9057025906236","19.9117535689689","20.5334714085697","21.2003498068899","21.8020225082156","22.3979966821022","23.8429791234437","25.3222863324834","27.2467629067224","29.438912952354","32.2362392710612","34.3179833802656","36.2483421879097","38.1327894639048","40.4180932897812","42.0810437766421","44.4294307548652","47.4136079302301","49.9527441020685","51.6874949472233","54.2459087213944","55.853212551321","57.5014395320783","58.9027198434418","59.8020788855404","61.5750675551084","63.4221228152087","65.7318749782681","68.0187481324024","69.8940825845657","71.6588682347693","72.9587013895424","73.6782241171471","74.6117239282053","74.9414370363121","75.1335491811904","76.1584015321351","77.6412858765368","78.53074108308","79.5575718131056","80.941649886225","82.9957823480576","84.566196230416","86.4445601727905","88.1356943641046","89.8008104656327","90.5848208974789","92.2456122838266","94.140554569286","95.6692918037125","97.7507755089035","100","101.667629327774","102.819322478732","104.56956478963","106.370239774518","",
"Azerbaijan","AZE","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00255489228448677","0.00468949233770825","0.0546480247603476","0.462936821065925","6.87955312537988","44.418272075926","56.1532077165431","61.3431705121439","60.7511262468826","62.0646526554534","69.8182491031549","71.5741850350762","74.5905975860329","79.7831960167013","87.1647098494835","99.998402900333","111.327410504311","134.241355643386","171.790053971692","139.323604572439","158.588186085768","197.611901789746","203.233925966076","204.073615500363","201.359019240546","183.620063817933","210.480629227886","244.633646699568","274.440869389419","273.810641207863","",
"Burundi","BDI","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","2.21203716340905","2.656157516802","2.56140131651097","2.68145802044849","2.8267184355473","2.79762121987115","2.88580319083278","2.73233657619656","2.81585899995417","2.96684197587555","3.12065824840114","3.16373016482164","3.29947981415679","3.48129575117696","3.91489732114605","4.74042803096696","5.12321514112024","5.8560462699533","6.58850327514027","8.31012580194729","9.67165883785596","9.08523568839025","9.60055221431761","10.2177283987686","11.9768324433677","12.5839187943402","12.0481692440355","11.6363875086277","12.0426397108446","13.8197943107155","14.6469866040483","15.246508387633","16.0700882857693","17.3143382815245","18.4637411844938","21.4369042043135","24.5352038509711","32.4840674819496","36.203673821609","41.6176219844858","57.8255604200099","65.7571495169799","66.4330400161365","74.3689639936028","84.1456264933397","100","102.845666333767","111.354470401982","138.319843726591","152.78643242531","165.867321899911","179.740875367988","205.430231564556","221.773149772061","233.537890625","283.360963555135","286.082561140366","318.836648254869","309.747071139955","312.293957218714","",
"Belgium","BEL","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","14.9270651224403","15.1234259911003","15.3756381483845","15.8408737001259","16.5762746278768","17.4217828122874","18.1336394596051","18.712724712135","19.2030522311272","19.9757496993481","21.3084152636101","22.4501662099054","23.8685273367499","25.4932548542822","28.5953609813545","32.2812233424916","34.7266113114049","37.3234879821692","38.9743990635765","40.7302900403978","42.4110648024756","44.590652978892","47.9663512763911","50.6586302961974","53.4138101171583","55.8856639492718","57.4486632015888","58.4161623646294","59.6832031309695","62.5464796597709","64.3055388490977","66.1553677612678","68.4208745790409","71.1530787041498","72.6432412513508","73.5300477498466","73.8804863786936","74.4402321350452","75.7843332084507","76.2382106638274","77.7741206149818","79.3162301349278","80.6170188661878","82.1085291779984","83.6809093323395","85.424044503285","87.3586456852846","89.0461392225632","90.745903390287","91.2297257943139","92.955869907894","94.6358761603642","96.4917865417872","97.7184600040293","98.6786957378743","100","101.742792852979","103.491291265367","105.078402076636","106.679338102748","",
"Benin","BEN","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","5.68164477288887","5.74081544829339","5.95785048601955","6.10971854552067","6.08749921093215","6.21275684008922","6.28337510982122","6.29223921983471","6.49821724073057","6.72267836967424","7.06197510264457","7.17308001109051","7.55448889200853","7.9188222452067","9.10036674022394","10.3968901435544","11.856138383722","12.4699172485243","14.0080140728035","15.8297122941647","17.4424148660118","18.7451798086209","21.7722046831806","22.8055591829426","23.2510842446664","22.1171331128603","21.3199934652092","21.9656609072395","21.8315590303341","22.3172969096301","22.8030545078925","22.9755870136296","23.6706294150778","24.2335931597402","32.7226481751181","37.6635887003","40.2651233765154","41.741850469724","43.9256191007492","65.160380574224","67.9890289655435","69.3286070003708","71.7926935395801","73.9907733987081","74.560288523362","77.7616568908371","79.3902325471868","79.6999761102808","84.8279938811868","86.9823637072546","87.7485788849948","91.0243062015658","98.0321838636733","99.4019859949445","99.1556851160345","100","100.683591111275","100.313184623455","100.904859082074","100.58425319927","",
"Burkina Faso","BFA","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","11.7455963346358","11.9688341065961","12.2094521446505","12.8379367160963","13.0705879340065","12.9848354639661","13.2838914097599","12.6979378432205","12.6644306904856","13.5399423117994","13.7814173283373","14.2468812980592","15.2864256863267","15.6957746071549","17.4246185655931","18.8492825573564","20.1169921237762","23.8712204337602","27.3402638869416","29.460098222622","32.0214677307118","36.3714622424624","39.6618125461858","41.8072456999098","44.5251703993837","44.8622556404407","42.0154418636128","42.5353086620033","43.9851487327172","46.1103441553909","46.9449484957816","45.0822758665633","45.1846395105178","44.5331494039776","51.0523401710061","54.5083635822639","54.6984370540416","55.5496540492636","59.9604721357595","70.3822329619224","69.8052582883727","72.5706305341549","74.7891046177682","75.8995200023484","75.9683218485245","78.8090701810659","78.2867025254096","80.2378805171492","87.5875102474524","89.6944320724992","93.0845396254374","99.356580380921","105.143107112203","102.904410199833","102.266004694128","100","102.517217326771","104.566776241414","107.052889517776","103.85438201559","",
"Bangladesh","BGD","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","2.18130022309352","2.317794682729","2.31830977773363","2.43802866296412","2.22486634056051","2.40133617437221","2.55252883445143","2.93009796673359","2.76104349209501","3.08761186949042","3.10336823224755","3.19532894445368","3.33598795253501","5.38447748480373","7.78287004728907","14.0535094856154","11.5758168379768","11.2042150674758","14.0746101065601","15.8430153364616","18.6242673078708","20.467080880845","22.4842779891836","24.3926886159198","26.3137509921925","31.1805096831164","33.7542752004582","37.5076261063862","40.3191359831718","43.6809347560215","46.5344945968151","47.8046685160155","49.0390624523244","49.1153271061926","51.0633472235706","54.7117920826436","65.1853870383857","67.6625831070833","70.8672268676628","73.5467434588277","76.0816491685812","78.5627935786781","81.621138985861","86.3680747755874","90.3083041352332","94.4501687091566","100","106.471260102962","114.840929757448","122.609177570961","131.369172618623","141.694061847095","153.262812026321","164.259340116365","173.570854744383","183.764284050805","196.127606832025","208.441883220496","220.10925069838","229.923814889489","",
"Bulgaria","BGR","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","0.0490673651691973","0.0504515252996426","0.0514184150612735","0.051086626565651","0.0524847390496013","0.0526050220678009","0.0533128171763103","0.0533468514391375","0.0504715928017622","0.0538681715746909","0.067975168702399","0.221964661066832","0.354208208368807","0.535176914492593","0.924277121430137","2.18092430557682","3.55641976563919","36.066579339377","48.0816973433899","49.6152632282798","53.1782362523032","56.4350542309779","58.5620276710971","59.892747296062","63.2764306756546","67.3878570184196","71.9411871353434","79.914803908403","86.4130540722842","89.9150608132017","90.9450115032004","96.3498336780831","97.820766330884","97.1664329194909","97.6155043604381","100","102.538556890867","106.582191644178","110.858576160821","116.016142354586","",
"Bahrain","BHR","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","40.3982251292169","48.0382425526356","54.6310081505335","52.6151418915436","52.3949580101776","51.4387528947644","42.4921904818604","42.772234613338","43.6317117449854","45.3659240982839","47.5555991455302","46.660353168092","45.0120051331425","43.6500252461584","46.8500913077665","47.3610704903049","47.4542401015876","47.896378427639","44.5161343560538","45.6986759700694","59.4042922614824","57.406034092726","59.3660767626762","64.473091375832","71.5593834076986","81.3880416954712","88.5847277764409","96.0574100352347","106.974422984568","93.0742293518084","100","109.736753495957","113.045059667271","113.479310971696","111.583204451318","101.128603412684","101.263999318563","107.144644131306","111.700013333933","112.388948512404","",
"Bahamas, The","BHS","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","8.70880481687331","8.80987931518163","8.90587462728777","9.02554858102409","9.16141025861669","9.34571288840858","9.69816949204905","10.1552512556187","10.6796157038394","11.6328112182305","12.3476876791238","12.9135268358851","13.7899238535055","14.5554057644211","16.4814799575991","18.2378088071889","18.6736313901953","18.9964430215198","19.4234609838936","21.0849625868224","23.1949064588654","27.2976975242199","28.3063495060735","29.9982106816357","30.9495845751884","33.5681444780129","35.132549929297","37.4465018064055","38.00232421842","38.691371468242","40.6544598563743","41.6938072334834","43.3221860104733","42.9530881568653","43.890911677668","44.24310783924","44.6785677875944","76.8091331201754","79.151222269585","83.0699425289842","83.8357719999004","84.1321056821182","87.4644721991881","88.474405521864","89.5312588057674","94.0586295794796","94.8373803252021","97.6327258684419","99.0864205665981","98.0593368443078","97.6742791077916","96.8359055723833","99.9998134418853","101.524984525242","104.12788495392","111.466997998729","112.729041060966","114.65442971443","115.433499266956","117.066715341791","",
"Bosnia and Herzegovina","BIH","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.3357790617869","51.5237801236836","42.7354907246574","48.2960115696282","47.5320046586923","51.5036502041667","66.330409867854","68.2963225514919","71.3421050656487","71.9930955717799","78.0708316845812","75.9179874035165","81.8371505246967","86.9103307924314","93.3006434198842","93.4720406010088","94.8791128638009","97.2364513325283","97.8895996329706","97.6690816452492","98.6517780364039","100","101.411047364538","104.194764313081","107.082175494342","109.322598175243","",
